adduser	3.134
perl-modules-5.36	5.36.0-7+deb12u3
pinentry-curses	1.2.1-1
postgresql-17	17.10-1.pgdg12+1
postgresql-client-17	17.10-1.pgdg12+1
postgresql-client-common	291.pgdg12+1
postgresql-common	291.pgdg12+1
readline-common	8.2-1.3
sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1
ssl-cert	1.1.2
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
xz-utils	5.4.1-1
zlib1g:amd64	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5
